Timestamp,Notified Production (MW),Actual Production (MW),Volue Forecast (MW),Solcast Forecast (MW),Volue Forecast (Filtered),Solcast Forecast (Filtered),Deviation_Actual,Deviation_ValueForecast,Deviation_SolcastForecast,Deviation_Final,Deviation_Final_ValueForecast,Deviation_Final_SolcastForecast
2024-12-16 16:45:00+01:00,2539.0,,2751.997560953796,1943.428,2751.997560953796,1943.428,,212.99756095379598,-595.572021484375,,212.99756095379598,-595.572021484375
2024-12-16 17:00:00+01:00,2539.0,,2643.3363335542367,1938.185,2643.3363335542367,1938.185,,104.33633355423672,-600.81494140625,,104.33633355423672,-600.81494140625
2024-12-16 17:15:00+01:00,2514.0,,2643.3363335542367,1962.692,2643.3363335542367,1962.692,,129.33633355423672,-551.3079833984375,,129.33633355423672,-551.3079833984375
2024-12-16 17:30:00+01:00,2514.0,,2643.3363335542367,1909.555,2643.3363335542367,1909.555,,129.33633355423672,-604.4449462890625,,129.33633355423672,-604.4449462890625
2024-12-16 17:45:00+01:00,2513.0,,2643.3363335542367,1897.72,2643.3363335542367,1897.72,,130.33633355423672,-615.280029296875,,130.33633355423672,-615.280029296875
2024-12-16 18:00:00+01:00,2513.0,,2535.6387413447883,1795.171,2535.6387413447883,1795.171,,22.638741344788286,-717.8289794921875,,22.638741344788286,-717.8289794921875
2024-12-16 18:15:00+01:00,2461.0,,2535.6387413447883,1792.05,2535.6387413447883,1792.05,,74.63874134478829,-668.949951171875,,74.63874134478829,-668.949951171875
2024-12-16 18:30:00+01:00,2460.0,,2535.6387413447883,1793.239,2535.6387413447883,1793.239,,75.63874134478829,-666.760986328125,,75.63874134478829,-666.760986328125
2024-12-16 18:45:00+01:00,2460.0,,2535.6387413447883,1793.315,2535.6387413447883,1793.315,,75.63874134478829,-666.68505859375,,75.63874134478829,-666.68505859375
2024-12-16 19:00:00+01:00,2459.0,,2461.9461078184863,1759.08,2461.9461078184863,1759.08,,2.9461078184863254,-699.9200439453125,,2.9461078184863254,-699.9200439453125
2024-12-16 19:15:00+01:00,2410.0,,2461.9461078184863,1737.384,2461.9461078184863,1737.384,,51.946107818486325,-672.615966796875,,51.946107818486325,-672.615966796875
2024-12-16 19:30:00+01:00,2409.0,,2461.9461078184863,1736.802,2461.9461078184863,1736.802,,52.946107818486325,-672.197998046875,,52.946107818486325,-672.197998046875
2024-12-16 19:45:00+01:00,2409.0,,2461.9461078184863,1721.103,2461.9461078184863,1721.103,,52.946107818486325,-687.89697265625,,52.946107818486325,-687.89697265625
2024-12-16 20:00:00+01:00,2408.0,,2415.296416199613,1677.874,2415.296416199613,1677.874,,7.29641619961285,-730.1259765625,,7.29641619961285,-730.1259765625
2024-12-16 20:15:00+01:00,2342.0,,2415.296416199613,1690.904,2415.296416199613,1690.904,,73.29641619961285,-651.095947265625,,73.29641619961285,-651.095947265625
2024-12-16 20:30:00+01:00,2340.0,,2415.296416199613,1854.828,2415.296416199613,1854.828,,75.29641619961285,-485.1719970703125,,75.29641619961285,-485.1719970703125
2024-12-16 20:45:00+01:00,2339.0,,2415.296416199613,1809.023,2415.296416199613,1809.023,,76.29641619961285,-529.97705078125,,76.29641619961285,-529.97705078125
2024-12-16 21:00:00+01:00,2338.0,,2377.4869895640927,1795.7,2377.4869895640927,1795.7,,39.48698956409271,-542.300048828125,,39.48698956409271,-542.300048828125
2024-12-16 21:15:00+01:00,2275.0,,2377.4869895640927,1772.225,2377.4869895640927,1772.225,,102.48698956409271,-502.7750244140625,,102.48698956409271,-502.7750244140625
2024-12-16 21:30:00+01:00,2275.0,,2377.4869895640927,1755.086,2377.4869895640927,1755.086,,102.48698956409271,-519.9139404296875,,102.48698956409271,-519.9139404296875
2024-12-16 21:45:00+01:00,2274.0,,2377.4869895640927,1770.141,2377.4869895640927,1770.141,,103.48698956409271,-503.8590087890625,,103.48698956409271,-503.8590087890625
2024-12-16 22:00:00+01:00,2274.0,,2344.5920182306336,1774.491,2344.5920182306336,1774.491,,70.59201823063358,-499.509033203125,,70.59201823063358,-499.509033203125
2024-12-16 22:15:00+01:00,2223.0,,2344.5920182306336,1767.51,2344.5920182306336,1767.51,,121.59201823063358,-455.489990234375,,121.59201823063358,-455.489990234375
2024-12-16 22:30:00+01:00,2222.0,,2344.5920182306336,1762.62,2344.5920182306336,1762.62,,122.59201823063358,-459.3800048828125,,122.59201823063358,-459.3800048828125
2024-12-16 22:45:00+01:00,2221.0,,2344.5920182306336,1748.687,2344.5920182306336,1748.687,,123.59201823063358,-472.31298828125,,123.59201823063358,-472.31298828125
2024-12-16 23:00:00+01:00,2220.0,,2347.4641096555565,1783.163,2347.4641096555565,1783.163,,127.46410965555651,-436.8370361328125,,127.46410965555651,-436.8370361328125
2024-12-16 23:15:00+01:00,0.0,,2347.4641096555565,1786.374,2347.4641096555565,1786.374,,2347.4641096555565,1786.3740234375,,2347.4641096555565,1786.3740234375
2024-12-16 23:30:00+01:00,0.0,,2347.4641096555565,1797.011,2347.4641096555565,1797.011,,2347.4641096555565,1797.010986328125,,2347.4641096555565,1797.010986328125
2024-12-16 23:45:00+01:00,0.0,,2347.4641096555565,1808.568,2347.4641096555565,1808.568,,2347.4641096555565,1808.5679931640625,,2347.4641096555565,1808.5679931640625
2024-12-17 00:00:00+01:00,0.0,,2333.1292765942626,1784.2,2333.1292765942626,1784.2,,2333.1292765942626,1784.199951171875,,2333.1292765942626,1784.199951171875
